Subscribed | vest | sym=BTC | esym=BTC-PERP
Subscribed | vest | sym=ETH | esym=ETH-PERP
Subscribed | vest | sym=SOL | esym=SOL-PERP
Subscribed | reya | sym=BTC | esym=BTC-USD
Subscribed | reya | sym=ETH | esym=ETH-USD
Subscribed | reya | sym=SOL | esym=SOL-USD
Subscribed | pacifica | sym=BTC | esym=BTC-USD
Subscribed | pacifica | sym=ETH | esym=ETH-USD
Subscribed | pacifica | sym=SOL | esym=SOL-USD
Subscribed | extended | sym=BTC | esym=BTC-USDT-PERP
Subscribed | extended | sym=ETH | esym=ETH-USDT-PERP
Subscribed | extended | sym=SOL | esym=SOL-USDT-PERP
Subscribed | grvt | sym=BTC | esym=BTC-USD
Subscribed | grvt | sym=ETH | esym=ETH-USD
Subscribed | grvt | sym=SOL | esym=SOL-USD
Subscribed | hotstuff | sym=BTC | esym=BTC-USD
Subscribed | hotstuff | sym=ETH | esym=ETH-USD
Subscribed | hotstuff | sym=SOL | esym=SOL-USD
Subscribed | nado | sym=BTC | esym=BTC-USD
Subscribed | nado | sym=ETH | esym=ETH-USD
Subscribed | nado | sym=SOL | esym=SOL-USD
Subscribed | nord | sym=BTC | esym=BTC-USD
Subscribed | nord | sym=ETH | esym=ETH-USD
Subscribed | nord | sym=SOL | esym=SOL-USD
Subscribed | paradex | sym=BTC | esym=BTC-USD-PERP
Subscribed | paradex | sym=ETH | esym=ETH-USD-PERP
Subscribed | paradex | sym=SOL | esym=SOL-USD-PERP
